Store Names,Store Type,Location,Description
Ace ,GOODS,3F,"ACE adalah pusat perlengkapan rumah tangga dan gaya hidup terbesar dan terlengkap di Indonesia. ACE juga telah meraih berbagai prestasi antara lain MURI (Museum Rekor Indonesia) sebagai store ACE terbesar di dunia, penghargaan dari Superbrands, Majalah SWA, Marketing, Forbes Indonesia, IMAC, Top Brand Award, dan lain sebagainya. ACE menyediakan lebih dari 85.000 jenis produk yang meliputi perkakas, perlengkapan dapur dan kamar mandi, keperluan berkebun dan otomotif, peralatan elektrikal, cat dan koleksi dekorasi ruangan, sepeda, beserta produk olahraga dan sepatu kesehatan, serta masih banyak lagi. Selain itu, ACE memiliki standar service meliputi delivery service dengan persyaratan tertentu untuk kemudahan berbelanja, installation service, membership privilleges, best price guarantee, dan 100% satisfaction guarantee. Selain ragam produk yang lengkap, ACE juga didukung dengan layanan pelanggan profesional yang selalu siap membantu para pelanggan menemukan solusi yang mereka butuhkan. Sesuai slogan, The Helpful Place, ACE memberikan solusi terhadap keperluan rumah tangga dan gaya hidup. Saat ini, ACE telah memiliki 112 toko yang beroperasi di 33 kota di Indonesia, antara lain Jakarta, Bandung, Semarang, Surabaya, Medan, Palembang, Lampung, Samarinda, Makassar, Manado, Denpasar, dan masih banyak lagi. Bagi warga BSD dan sekitarnya akan segera merasakan sensasi berbelanja mudah dan nyaman dengan hadirnya ACE di AEON Mall yang berlokasi di Lantai 3-01 pada penghujung Mei 2015. Sambutlah gaya hidup modern yang penuh kemudahan dan kenyamanan hanya bersama ACE. Selamat berbelanja!"
Adidas ,FASHION,GF,"Adidas adalah desainer global dan pengembang sepatu, pakaian dan aksesoris atletik dan lifestyle. dengan misi untuk menjadi merk olahraga terkemuka di dunia. Sebagai pemimpin dalam inovasi dan desain, adidas menghasilkan yang terbaik dalam produk berperforma tinggi untuk membuat atlet lebih baik, lebih cepat dan lebih kuat dengan menciptakan berbagai koleksi klasik dan gaya hidup serta koleksi high fashion."
AEON BSD CITY Dept Store 1F,FASHION,1F,"New Life. New You. Halo Indonesia! Kami adalah AEON, toko ritel yang lahir di Jepang. Kami sangat senang melintasi lautan untuk bertemu dengan Anda. Sebagai bagian dari komunitas ini, kami ingin tumbuh bersama untuk menciptakan lingkungan hidup yang lebih bahagia. Itulah tujuan dan masa depan kami. Dengan keramah-tamahan dari Jepang dan ide yang selangkah lebih maju, kami akan selalu mewarnai kehidupan sehari-hari Anda dengan hal-hal yang baru dan suasana yang nyaman."
AEON BSD CITY Dept Store 2F,FASHION,2F,"New Life. New You. Halo Indonesia! Kami adalah AEON, toko ritel yang lahir di Jepang. Kami sangat senang melintasi lautan untuk bertemu dengan Anda. Sebagai bagian dari komunitas ini, kami ingin tumbuh bersama untuk menciptakan lingkungan hidup yang lebih bahagia. Itulah tujuan dan masa depan kami. Dengan keramah-tamahan dari Jepang dan ide yang selangkah lebih maju, kami akan selalu mewarnai kehidupan sehari-hari Anda dengan hal-hal yang baru dan suasana yang nyaman."
AEON BSD CITY Supermarket GF,FOOD,GF,"New Life. New You.
Halo Indonesia! Kami adalah AEON, toko ritel yang lahir di Jepang. Kami sangat senang melintasi lautan untuk bertemu dengan Anda. Sebagai bagian dari komunitas ini, kami ingin tumbuh bersama untuk menciptakan lingkungan hidup yang lebih bahagia. Itulah tujuan dan masa depan kami. Dengan keramah-tamahan dari Jepang dan ide yang selangkah lebih maju, kami akan selalu mewarnai kehidupan sehari-hari Anda dengan hal-hal yang baru dan suasana yang nyaman."
AEON Credit Service ,SERVICE,GF,"AEON CREDIT SERVICE merupakan anak perusahaan AEON Group yang berasal dari Jepang dan bergerak di bidang pembiayaan konsumen. Selain menyediakan fasilitas kredit, AEON Credit Service juga merupakan satu-satunya perusahaan Non-Bank di Indonesia yang menerbitkan Kartu Kredit"
Amazone ,ENTERTAINMENT,3F,Amazone Indonesia adalah pusat hiburan keluarga yang lahir dengan area terbesar dan dengan ragam permainan terlengkap.
ATM CENTER (3F),SERVICE,3F,"ATM Center

Permata, Danamon, BRI, BNI, Mandiri"
ATM CENTER (GF),SERVICE,GF,"ATM Center

Sinarmas, Panin, BRI, OCBC NISP, Mandiri"
Auntie Anne's ,FOOD,GF,Manjakan lidah Anda! Nikmati pretzel panggang segar yang dibuat langsung di depan Anda bersama dengan Fresh Squeezed Lemonade yang merupakan minuman khas dari Auntie Anne's.
